carat,color,clarity,depth,table,price,x,y,z
0.64,D,VS1,61.5,56,2787,5.54,5.55,3.41
0.76,I,VVS2,61.8,56,2788,5.85,5.87,3.62
0.71,F,SI1,62.5,55,2788,5.71,5.65,3.55
0.81,G,SI2,61.6,56,2789,5.97,6.01,3.69
0.7,E,SI1,61.6,56,2789,5.72,5.75,3.53
0.55,G,IF,60.9,57,2789,5.28,5.3,3.22
0.64,G,IF,61.3,56,2790,5.54,5.58,3.41
0.83,F,SI2,62.3,55,2790,6.02,6.05,3.76
0.73,E,SI1,62.2,56,2791,5.74,5.78,3.58
0.71,E,SI1,61.3,55,2792,5.72,5.77,3.52
0.7,F,VS1,62.2,56,2792,5.73,5.68,3.55
0.76,I,VS2,61.3,56,2793,5.87,5.91,3.61
0.73,H,VS2,62.7,55,2793,5.72,5.76,3.6
0.81,F,SI2,62.6,55,2795,5.92,5.96,3.72
0.57,F,VVS2,61.9,55,2797,5.34,5.35,3.31
0.51,D,VVS1,61.7,56,2797,5.12,5.16,3.17
0.72,G,VS2,61.9,58,2797,5.72,5.75,3.55
0.74,H,VS1,61.8,58,2797,5.77,5.81,3.58
0.74,H,VS1,61.6,56,2797,5.81,5.82,3.58
0.77,I,VS1,61.5,59,2798,5.87,5.91,3.62
0.82,F,SI2,62.4,54,2799,5.97,6.02,3.74
0.78,D,SI1,61.9,57,2799,5.91,5.86,3.64
0.83,G,SI1,62.3,57,2800,5.99,6.08,3.76
0.83,G,SI1,61.8,57,2800,6.03,6.07,3.74
0.79,I,VS1,61.8,59,2800,5.92,5.95,3.67
0.61,G,IF,62.3,56,2800,5.43,5.45,3.39
0.96,F,I1,60.7,55,2801,6.37,6.41,3.88
0.73,F,VS2,62.5,55,2801,5.8,5.76,3.61
0.75,H,SI1,60.4,57,2801,5.93,5.96,3.59
0.53,F,IF,61.9,54,2802,5.22,5.25,3.24
0.71,G,VS2,61.3,56,2803,5.75,5.71,3.51
0.73,E,SI1,60.6,54,2803,5.84,5.89,3.55
0.91,D,SI2,62.2,57,2803,6.21,6.15,3.85
0.72,F,VS1,61.7,57,2804,5.74,5.77,3.55
0.82,H,VS2,61.5,56,2804,6.01,6.08,3.72
0.7,D,SI1,61,59,2804,5.68,5.7,3.47
0.72,D,SI1,62.2,56,2804,5.74,5.77,3.58
0.72,D,SI1,61.5,54,2804,5.77,5.8,3.56
0.73,E,SI2,61.8,58,2805,5.77,5.81,3.58
0.72,G,VS2,62.8,56,2805,5.74,5.7,3.59
0.7,F,SI1,61.6,55,2806,5.72,5.74,3.53
0.58,E,VVS2,60.9,56,2808,5.41,5.43,3.3
0.74,D,SI2,61.7,55,2810,5.81,5.85,3.6
0.32,I,SI1,62.4,57,554,4.37,4.35,2.72
0.32,I,SI1,60.7,57,554,4.47,4.42,2.7
0.3,H,SI1,62.9,57,554,4.27,4.22,2.67
0.33,H,SI2,61.4,56,554,4.85,4.79,2.95
0.34,H,VS2,61.5,56,555,4.47,4.5,2.76
0.34,H,VS2,60.4,57,555,4.54,4.57,2.75
0.34,I,VS1,61.8,55,555,4.48,4.52,2.78
0.34,I,VS1,62,56,555,4.5,4.53,2.8
0.3,G,VS1,62.3,56,555,4.29,4.31,2.68
0.29,F,VS1,61.6,56,555,4.26,4.31,2.64
0.35,G,SI1,60.6,56,555,4.56,4.58,2.77
0.36,I,VS2,61.9,56,556,4.54,4.57,2.82
0.3,G,VS2,62,56,556,4.28,4.3,2.66
0.26,E,VS1,61.5,57,556,4.09,4.12,2.52
0.71,D,SI1,62.4,57,2812,5.69,5.72,3.56
0.51,F,VVS1,62,57,2812,5.15,5.11,3.18
0.76,E,SI1,61.7,57,2814,5.88,5.85,3.62
0.7,H,SI1,60.4,56,2815,5.75,5.81,3.49
0.7,H,SI1,61.4,56,2815,5.7,5.76,3.52
0.7,H,SI1,61.5,55,2815,5.73,5.79,3.54
0.7,H,SI1,61.4,56,2815,5.72,5.77,3.53
0.61,G,VVS2,60.1,57,2816,5.52,5.54,3.32
0.87,H,SI2,62.7,56,2816,6.16,6.13,3.85
0.83,H,SI1,62.5,55,2816,6.04,6,3.76
0.71,I,VVS2,60.2,56,2817,5.84,5.89,3.53
0.71,E,VS2,62.7,57,2817,5.66,5.64,3.54
0.63,F,VVS2,61.5,56,2817,5.48,5.52,3.38
0.71,E,SI1,61.3,55,2817,5.77,5.72,3.52
0.9,J,VS2,62.8,55,2817,6.2,6.16,3.88
0.8,H,SI1,61,57,2818,6.07,6,3.68
0.7,E,VS1,62.9,57,2818,5.66,5.61,3.54
0.72,H,VS1,62.3,56,2819,5.73,5.77,3.58
0.71,G,VS1,62.9,58,2820,5.66,5.69,3.57
0.75,E,SI1,62,57,2821,5.8,5.78,3.59
0.53,E,VVS1,61.9,55,2821,5.2,5.21,3.22
0.6,F,VVS2,62,55,2822,5.37,5.4,3.34
0.74,I,VVS1,60.8,57,2822,5.85,5.89,3.57
0.73,F,SI1,62.1,55,2822,5.75,5.78,3.58
0.7,D,SI1,60.7,56,2822,5.75,5.72,3.48
0.71,D,SI1,60.2,56,2822,5.86,5.83,3.52
0.7,D,SI1,59.7,58,2822,5.82,5.77,3.46
0.7,D,SI1,62.5,57,2822,5.62,5.59,3.51
0.7,D,SI1,61.8,56,2822,5.73,5.63,3.51
0.7,D,SI1,61.4,54,2822,5.75,5.71,3.52
0.61,E,VVS2,61.3,54,2823,5.51,5.59,3.4
0.71,E,SI1,60.5,56,2823,5.77,5.73,3.47
0.77,I,VVS2,62.1,57,2824,5.84,5.86,3.63
0.82,F,SI2,62.4,54,2824,6.02,5.97,3.74
0.96,F,I1,60.7,55,2826,6.41,6.37,3.88
0.7,H,VVS1,61.6,57,2827,5.69,5.74,3.52
0.7,H,VVS1,62.3,55,2827,5.66,5.7,3.54
0.7,D,SI2,60.6,57,2828,5.74,5.77,3.49
0.59,E,VVS1,62,56,2829,5.36,5.38,3.33
0.72,F,VS1,61.7,57,2829,5.77,5.74,3.55
0.97,F,I1,60.7,56,2830,6.41,6.43,3.9
0.53,F,VVS1,60.9,57,2830,5.23,5.29,3.19
0.53,F,VVS1,61.8,57,2830,5.16,5.19,3.2
0.8,I,VS2,62.1,54.4,2830,5.94,5.99,3.7
0.72,E,SI1,62.3,57,2831,5.7,5.76,3.57
0.75,E,SI1,61.4,57,2831,5.82,5.87,3.59
0.79,G,SI1,61.8,56,2831,5.93,5.91,3.66
0.82,H,SI1,62.5,57,2832,5.91,5.97,3.71
0.7,D,VS2,61,57,2833,5.74,5.76,3.51
0.61,F,VVS2,61.7,55,2833,5.45,5.48,3.37
0.85,H,SI2,62.5,57,2833,6.02,6.07,3.78
0.7,F,SI1,60.7,57,2833,5.73,5.75,3.49
0.8,G,VS2,62.2,56,2834,5.94,5.87,3.67
0.8,H,VS2,62.8,57,2834,5.91,5.87,3.7
0.53,F,VVS1,61.4,57,2834,5.2,5.23,3.2
0.78,I,VS2,61.8,55,2834,5.92,5.95,3.67
0.77,E,SI2,60.7,55,2834,6.01,5.95,3.63
0.73,F,VS1,61.2,56,2835,5.89,5.81,3.58
0.63,F,VVS2,61.9,57,2835,5.47,5.51,3.4
0.7,E,VS2,61.5,54,2835,5.7,5.75,3.52
0.72,E,VS2,62.8,57,2835,5.71,5.73,3.59
0.72,E,SI1,61,57,2835,5.78,5.8,3.53
0.7,E,VS1,61.8,56,2837,5.74,5.69,3.53
0.71,F,SI1,59.8,53,2838,5.86,5.82,3.49
0.71,F,VS1,61.5,57,2839,5.74,5.71,3.52
0.7,F,VS1,61.6,54,2839,5.75,5.72,3.53
0.71,F,VS1,62.1,55,2839,5.82,5.68,3.57
0.7,F,VS1,62.4,53,2839,5.73,5.71,3.57
0.73,G,VS2,61.8,54,2839,5.8,5.82,3.59
0.7,E,VS2,62.1,54,2839,5.69,5.72,3.54
0.7,G,VS1,61.3,57,2839,5.71,5.74,3.51
0.7,F,SI1,61,56,2840,5.75,5.8,3.52
0.92,D,SI2,61.9,56,2840,6.27,6.2,3.86
0.82,F,SI2,61.7,53,2841,6,6.12,3.74
0.82,F,SI2,62.3,56,2841,5.96,6.02,3.73
0.52,F,VVS1,61.2,56,2841,5.19,5.21,3.18
0.73,D,SI1,61.4,57,2841,5.76,5.8,3.55
0.8,I,VS1,62.6,54,2842,5.92,5.96,3.72
0.73,G,VVS2,61.3,57,2843,5.81,5.84,3.57
0.72,E,VS2,62,57,2843,5.71,5.74,3.55
0.81,F,SI2,62.1,57,2843,5.91,5.95,3.68
0.71,G,VVS2,60.7,57,2843,5.81,5.78,3.52
1.01,I,I1,61.5,57,2844,6.45,6.46,3.97
0.79,H,VS2,62.5,57,2844,5.91,5.93,3.7
0.79,D,SI1,61.5,56,2846,5.96,5.91,3.65
0.73,H,VVS2,61.6,56,2846,5.79,5.84,3.58
0.73,E,SI1,59.1,59,2846,5.92,5.95,3.51
0.7,E,SI1,61.6,57,2846,5.71,5.76,3.53
0.72,E,SI1,60.3,57,2847,5.83,5.85,3.52
0.54,D,VVS2,61.5,55,2848,5.25,5.29,3.24
0.7,F,VS2,60.8,59,2850,5.69,5.79,3.49
0.75,J,SI1,61.5,56,2850,5.83,5.87,3.6
0.66,D,VS1,62.1,56,2851,5.54,5.57,3.45
0.74,F,SI1,61,57,2851,5.85,5.81,3.56
0.78,I,VS1,61.5,57,2852,5.88,5.92,3.63
0.74,G,SI1,61.3,55,2852,5.85,5.86,3.59
0.73,E,SI1,62.7,55,2852,5.7,5.79,3.6
0.79,D,SI2,62.8,57,2853,5.9,5.85,3.69
1.02,H,SI2,61.6,55,2856,6.49,6.43,3.98
0.6,F,VVS2,60.8,57,2856,5.44,5.49,3.32
0.8,G,SI2,61.6,56,2856,5.97,6.01,3.69
0.97,F,I1,60.7,56,2856,6.43,6.41,3.9
0.26,E,VS1,62.3,57,556,4.05,4.08,2.53
0.26,E,VS1,62.1,56,556,4.09,4.12,2.55
0.36,H,SI1,61.9,55,556,4.57,4.59,2.83
0.34,E,SI1,62.2,54,556,4.47,4.5,2.79
0.31,I,VVS1,61.6,55,557,4.36,4.41,2.7
0.31,I,VVS1,61.3,56,557,4.36,4.38,2.68
0.31,I,VVS1,62.3,54,557,4.37,4.4,2.73
0.31,I,VVS1,62,54,557,4.37,4.4,2.72
0.31,I,VVS1,62.7,53,557,4.33,4.35,2.72
0.31,I,VVS1,62.2,53,557,4.36,4.38,2.72
0.31,G,VS2,62.2,53.6,557,4.32,4.35,2.7
0.31,H,VS1,61.6,54.8,557,4.35,4.37,2.69
0.31,H,VS1,61.8,54.2,557,4.33,4.37,2.69
0.33,G,SI2,61.9,56,557,4.45,4.41,2.74
0.33,J,VS1,62.1,55,557,4.44,4.41,2.75
0.33,I,SI1,63,57,557,4.39,4.37,2.76
0.72,E,SI1,62.3,57,2857,5.76,5.7,3.57
0.7,G,VVS2,62.1,56,2858,5.63,5.71,3.52
0.76,E,SI1,62.7,54,2858,5.88,5.83,3.67
0.73,D,SI1,61.5,56,2858,5.84,5.8,3.58
0.7,D,VS2,61,57,2859,5.76,5.74,3.51
0.71,G,VS1,61.5,56,2859,5.74,5.78,3.54
0.6,E,VVS2,61.9,54.9,2860,5.41,5.44,3.35
0.53,F,VVS1,61.4,57,2860,5.23,5.2,3.2
0.62,G,VVS2,61.6,56,2861,5.45,5.48,3.37
0.62,G,VVS2,61.6,56,2861,5.48,5.51,3.38
0.7,H,VS2,61.1,57,2862,5.71,5.74,3.5
0.71,D,SI1,60.8,56,2863,5.8,5.77,3.52
0.71,D,SI1,61.7,57,2863,5.75,5.7,3.53
0.72,F,VS2,59.5,57,2863,5.91,5.86,3.5
0.71,E,VS2,61,55,2863,5.79,5.75,3.52
0.81,E,SI2,60.3,57,2864,6.07,6.04,3.65
0.71,E,VS1,62.2,55,2866,5.74,5.7,3.56
0.7,H,VVS1,62.3,58,2866,5.66,5.7,3.54
0.7,D,VS2,62.4,57,2867,5.68,5.61,3.52
0.71,H,VVS1,60.4,57,2867,5.78,5.81,3.5
0.82,F,SI2,62.3,56,2867,5.99,5.95,3.72
0.52,F,VVS1,61.2,56,2867,5.21,5.19,3.18
0.82,F,SI2,61.7,53,2867,6.12,6,3.74
0.82,F,SI2,62.3,56,2867,6.02,5.96,3.73
0.8,G,SI1,61.3,57,2867,5.96,5.91,3.64
0.72,I,VS1,62.4,55,2868,5.72,5.75,3.58
0.62,G,IF,60.5,57,2868,5.52,5.56,3.35
0.72,E,SI1,60.8,55,2869,5.77,5.84,3.53
0.62,G,IF,61.8,56,2869,5.43,5.47,3.37
0.73,G,VVS2,61.3,57,2869,5.84,5.81,3.57
0.72,H,VVS2,60.9,57,2869,5.79,5.77,3.52
0.83,E,SI2,62.2,57,2870,6,6.05,3.75
0.8,G,SI1,62.5,57,2870,5.94,5.9,3.7
0.74,H,SI1,62.1,56,2870,5.77,5.83,3.6
0.72,F,SI1,61.5,56,2870,5.72,5.79,3.54
0.82,H,VS2,59.5,57,2870,6.12,6.09,3.63
0.75,I,SI1,61.8,55,2871,5.83,5.85,3.61
0.79,G,SI1,62.6,55,2871,5.91,5.95,3.71
1.02,I,I1,61.7,56,2872,6.44,6.49,3.99
0.7,D,SI1,61.8,56,2872,5.63,5.73,3.51
0.7,D,SI1,61.4,54,2872,5.71,5.75,3.52
0.7,D,SI1,60.7,56,2872,5.72,5.75,3.48
0.74,E,SI1,62.3,58,2872,5.74,5.78,3.59
0.76,E,SI2,62.8,56,2873,5.78,5.82,3.64
1,I,SI2,61.7,56,2873,6.45,6.41,3.97
0.7,F,VS1,61,55,2874,5.77,5.73,3.51
0.7,F,VS1,61.6,55,2874,5.75,5.71,3.53
0.7,F,VS1,62.4,56,2874,5.69,5.65,3.54
0.77,H,SI1,62.4,56,2875,5.84,5.9,3.66
0.71,E,VS1,62.4,56,2877,5.75,5.7,3.57
0.74,G,VS2,62.3,55,2877,5.8,5.83,3.62
0.71,I,VS2,61.5,55,2878,5.76,5.78,3.55
0.79,F,SI1,62.8,56,2878,5.88,5.9,3.7
0.84,G,SI2,61,56,2879,6.13,6.1,3.73
0.84,G,SI2,62.3,55,2879,6.08,6.03,3.77
1.02,J,SI2,60.3,54,2879,6.53,6.5,3.93
0.72,F,VS1,62,56,2879,5.76,5.73,3.56
0.7,H,VVS1,62,55,2881,5.74,5.71,3.55
0.54,F,VVS1,61.8,56,2882,5.23,5.26,3.24
0.72,D,SI1,61.8,56,2883,5.75,5.81,3.57
0.77,D,SI2,61.5,55,2885,5.9,5.93,3.64
0.73,E,SI1,61.4,56,2886,5.79,5.81,3.56
0.72,E,SI1,62.7,55,2886,5.64,5.69,3.55
0.79,I,VS1,61.7,59,2888,5.93,5.96,3.67
0.5,E,VVS2,62.2,54,2889,5.08,5.12,3.17
0.5,E,VVS2,62.2,54,2889,5.09,5.11,3.17
0.74,F,SI1,61.2,56,2889,5.83,5.87,3.58
0.8,F,SI1,61.5,54,2890,6.07,6,3.71
0.8,F,SI1,62.4,57,2890,5.9,5.87,3.67
0.66,G,VVS1,61.5,56,2890,5.61,5.58,3.44
0.71,F,VS2,61.2,56,2891,5.73,5.77,3.52
0.71,E,VS2,61.6,56,2891,5.74,5.76,3.54
0.71,E,VS2,62.7,56,2891,5.71,5.75,3.59
0.72,D,SI1,61.1,56,2891,5.78,5.81,3.54
0.86,H,SI2,61.8,55,2892,6.12,6.14,3.79
0.71,G,VVS2,61.5,57,2893,5.73,5.75,3.53
0.75,F,VS2,62.5,57,2893,5.78,5.83,3.63
0.8,G,SI2,62.5,55,2893,5.89,5.92,3.69
0.81,G,SI2,62.2,57,2894,5.96,6,3.72
0.76,F,SI1,61.4,56,2894,5.88,5.92,3.62
0.7,G,VVS2,62.1,53,2895,5.71,5.75,3.56
0.53,F,VVS1,61.6,56,2896,5.18,5.24,3.21
0.79,D,SI1,61.5,56,2896,5.91,5.96,3.65
0.73,E,SI2,61.5,55,2896,5.82,5.86,3.59
0.77,D,SI2,62.1,56,2896,5.83,5.89,3.64
1.01,I,I1,61.5,57,2896,6.46,6.45,3.97
0.54,D,VVS2,61.4,52,2897,5.3,5.34,3.26
0.72,E,SI1,62.5,55,2897,5.69,5.74,3.57
0.75,D,SI1,62.3,55,2898,5.83,5.8,3.62
0.77,D,SI1,62.6,57,2898,5.92,5.81,3.67
0.79,G,SI1,61.1,57,2898,5.98,5.93,3.64
0.79,G,SI1,62.3,57,2898,5.9,5.85,3.66
0.79,G,SI1,62.3,57,2898,5.9,5.85,3.66
0.79,G,SI1,62.3,57,2898,5.9,5.85,3.66
0.79,G,SI1,62.3,57,2898,5.9,5.85,3.66
0.79,G,SI1,62.3,57,2898,5.9,5.85,3.66
0.81,E,SI2,63,56,2901,5.95,5.9,3.73
0.74,E,VS2,61.9,57,2901,5.81,5.78,3.59
0.73,E,VS2,61.4,55,2902,5.82,5.8,3.57
0.75,G,SI1,61.6,55,2902,5.82,5.86,3.6
0.75,D,SI1,62.3,57,2903,5.83,5.8,3.62
0.72,D,SI1,61.9,55,2903,5.78,5.75,3.57
0.62,E,VVS2,62,56,2904,5.48,5.52,3.41
0.53,D,VVS1,62.5,54,2905,5.16,5.21,3.24
0.8,I,VS1,62.2,58,2906,5.92,5.95,3.69
0.61,E,VVS2,62.4,53.9,2907,5.42,5.43,3.38
0.61,E,VVS2,62.4,53.6,2907,5.42,5.45,3.39
0.61,E,VVS2,62.1,54.2,2907,5.43,5.45,3.38
0.72,H,VVS1,62.8,57,2907,5.68,5.72,3.58
0.7,F,VS2,62.3,53,2907,5.69,5.73,3.56
0.71,F,VS1,61.9,56,2907,5.7,5.74,3.54
0.79,G,SI1,60.3,60,2907,5.98,6.02,3.62
0.72,E,SI1,62.6,56,2907,5.7,5.73,3.58
0.33,G,SI2,62.9,55,557,4.46,4.41,2.79
0.39,H,SI2,61.5,57,558,4.66,4.7,2.88
0.32,D,SI1,61.3,55,558,4.41,4.46,2.72
0.31,E,SI2,61.7,56,558,4.4,4.35,2.7
0.31,E,SI2,60.1,57,558,4.44,4.41,2.66
0.31,E,SI2,61.3,55,558,4.37,4.34,2.67
0.31,I,VS2,59.9,57,558,4.4,4.38,2.63
0.31,H,SI1,62.9,56,558,4.31,4.27,2.7
0.73,I,VS1,61.5,55,2908,5.8,5.84,3.58
0.71,H,VS1,61.2,56,2909,5.76,5.81,3.54
0.71,H,VS1,61.9,56,2909,5.7,5.74,3.54
0.9,I,SI2,61.9,57,2909,6.19,6.13,3.81
0.59,E,VVS2,61.1,57,2911,5.39,5.41,3.3
0.71,G,VS2,60.6,56,2911,5.76,5.8,3.5
0.71,D,SI1,61.7,57,2913,5.7,5.75,3.53
0.85,G,SI2,62,57,2913,6.1,6.02,3.76
0.73,E,SI1,61.4,58,2914,5.76,5.8,3.55
0.71,F,VS2,62.2,56,2915,5.74,5.71,3.56
0.93,I,SI1,62,57,2917,6.22,6.26,3.87
0.7,E,VS2,62.5,58,2917,5.63,5.67,3.53
0.71,F,VS2,61.2,56,2917,5.77,5.73,3.52
0.71,H,VVS1,62.1,54,2918,5.7,5.76,3.56
0.72,I,VS2,61.8,55,2918,5.75,5.79,3.56
0.73,H,VS1,61.9,55,2919,5.79,5.76,3.58
0.73,G,VVS2,61.9,55,2919,5.83,5.77,3.59
0.72,F,SI1,61,55,2920,5.78,5.85,3.55
0.71,F,VS1,62.6,55,2920,5.71,5.67,3.56
0.65,F,VVS2,61.3,56,2921,5.58,5.61,3.43
0.53,F,VVS1,61.6,56,2922,5.24,5.18,3.21
0.77,D,SI2,60.6,56,2922,5.95,5.9,3.59
0.87,H,SI1,62.5,57,2923,6.13,6.06,3.81
0.71,E,VS1,62.4,54,2923,5.71,5.74,3.57
0.77,D,SI2,60.2,56,2923,5.98,6.04,3.62
0.78,F,SI1,61.1,56,2923,5.94,5.98,3.64
0.7,I,VS1,61.5,56,2924,5.71,5.75,3.52
0.71,I,IF,61.5,56,2925,5.74,5.77,3.54
1.02,I,I1,61.7,56,2925,6.49,6.44,3.99
0.8,I,SI1,59.4,58,2927,6.07,6.09,3.61
0.7,G,VS2,61.8,57,2929,5.68,5.71,3.52
0.7,E,SI1,60.1,57,2929,5.78,5.83,3.49
0.7,E,VS1,62.3,54,2930,5.67,5.72,3.55
0.71,F,VS2,62.3,57,2930,5.69,5.74,3.56
0.71,G,VS1,62.7,57,2930,5.69,5.73,3.58
0.71,G,VS1,62.6,57,2930,5.67,5.7,3.56
0.71,G,VVS1,61.7,57,2930,5.75,5.7,3.53
0.72,F,VS2,61.8,59,2931,5.71,5.74,3.54
0.75,F,VS2,62.3,57,2933,5.81,5.87,3.64
0.71,D,SI2,62,54,2934,5.77,5.74,3.57
0.74,F,VS2,60.5,59,2936,5.81,5.86,3.53
0.7,D,SI2,62.6,54,2936,5.69,5.72,3.57
0.82,E,SI2,62.1,56,2937,6.01,5.98,3.72
0.81,E,SI2,60.2,57,2938,6.1,6.06,3.66
0.8,E,SI2,60.8,56,2939,6.02,6.01,3.66
0.73,F,VS2,62.7,58,2939,5.72,5.77,3.6
0.72,E,SI2,62.4,57,2939,5.71,5.74,3.57
0.75,G,VS2,60.6,55,2939,5.93,5.91,3.59
0.81,I,VS2,61.8,56,2939,6.02,5.99,3.71
0.7,F,VS1,61.2,54,2940,5.92,5.64,3.54
0.75,E,VS2,61.6,57,2940,5.84,5.81,3.59
0.7,E,VS2,61.5,56,2940,5.73,5.68,3.51
0.7,F,VS2,60.8,56,2942,5.78,5.79,3.52
0.73,D,SI1,61.4,56,2943,5.82,5.78,3.56
0.72,F,VS2,62,56,2943,5.77,5.75,3.57
0.79,G,SI1,61.6,55,2944,5.96,5.98,3.68
0.72,H,VVS1,62.2,56,2946,5.72,5.75,3.57
0.72,H,VVS1,62.5,57,2946,5.7,5.73,3.57
0.77,I,SI1,61.5,56,2946,5.9,5.93,3.64
0.79,E,SI1,62.3,55,2946,5.9,5.94,3.69
0.76,E,VS1,62.1,57,2947,5.82,5.87,3.63
0.92,H,SI2,58.5,57,2947,6.37,6.34,3.72
0.7,H,VVS1,61.2,57,2947,5.69,5.72,3.49
0.7,H,VVS1,60.5,58,2947,5.76,5.81,3.5
0.74,I,VS1,62,56,2947,5.79,5.82,3.6
0.74,I,VS1,61.1,57,2947,5.83,5.86,3.57
0.73,D,SI1,61.2,57,2947,5.79,5.81,3.55
0.73,G,VS1,61.7,55,2948,5.8,5.84,3.59
0.7,E,SI1,62,56,2948,5.68,5.7,3.53
0.9,I,SI2,62,56,2948,6.2,6.16,3.83
0.76,E,SI1,61.7,57,2949,5.84,5.89,3.62
0.77,D,SI1,62.6,57,2949,5.81,5.92,3.67
0.72,H,VS1,62.3,55,2949,5.72,5.74,3.57
0.71,G,VS1,62.4,57,2950,5.68,5.73,3.56
0.54,F,VVS1,61.6,55,2951,5.27,5.28,3.25
0.81,H,SI1,62.3,58,2951,5.95,5.96,3.71
0.73,F,SI1,61.6,55,2951,5.77,5.81,3.56
0.72,E,SI1,61,56,2951,5.84,5.79,3.55
0.72,G,VS2,61.5,55,2952,5.76,5.79,3.55
0.72,G,VS2,61.4,55,2952,5.76,5.8,3.55
0.7,E,VS2,61.9,58,2952,5.7,5.73,3.54
0.7,E,VS2,62.6,57,2952,5.63,5.68,3.54
0.7,E,VS2,62.1,55,2952,5.71,5.75,3.56
0.74,I,IF,62.1,53.9,2952,5.79,5.81,3.6
0.72,D,SI1,61.9,55,2954,5.75,5.78,3.57
0.75,D,SI1,62.3,57,2954,5.8,5.83,3.62
