carat,color,clarity,depth,table,price,x,y,z
0.77,H,VS1,61.3,60,2789,5.9,5.88,3.61
0.76,I,VVS1,58.8,59,2790,6,5.94,3.51
0.71,F,VS1,60.1,62,2790,5.77,5.74,3.46
0.71,F,VS1,61.8,59,2790,5.73,5.69,3.53
0.71,E,SI1,59.2,59,2792,5.83,5.86,3.46
0.71,E,SI1,61.8,59,2792,5.7,5.75,3.54
0.7,F,VS1,62.1,60,2792,5.71,5.65,3.53
0.7,F,VS1,60.7,60,2792,5.78,5.75,3.5
0.76,H,VVS2,59.6,57,2792,5.91,5.86,3.51
0.81,I,VVS2,61.9,60,2795,5.91,5.86,3.64
0.72,D,SI2,62,60,2795,5.73,5.69,3.54
0.72,I,IF,63,57,2795,5.72,5.7,3.6
0.81,H,VS2,58,59,2795,6.17,6.13,3.57
0.72,G,VS2,62.9,57,2795,5.73,5.65,3.58
1,I,SI2,58.2,60,2795,6.61,6.55,3.83
0.71,D,SI1,62.7,60,2797,5.67,5.71,3.57
0.71,D,SI1,61.3,58,2797,5.73,5.75,3.52
0.71,D,SI1,61.6,60,2797,5.74,5.69,3.52
0.8,F,SI2,61,57,2797,6.03,6.01,3.67
0.7,E,VS1,62.2,58,2800,5.6,5.66,3.5
0.74,G,VS1,62.9,60,2800,5.74,5.68,3.59
0.73,F,VS2,62.7,58,2801,5.76,5.7,3.59
0.71,F,VS2,62.1,58,2801,5.7,5.67,3.53
0.71,F,VS2,62.8,57,2801,5.69,5.64,3.56
1.04,G,I1,62.2,58,2801,6.46,6.41,4
1,J,SI2,62.3,58,2801,6.45,6.34,3.98
0.72,E,VS2,63,55,2802,5.79,5.61,3.59
0.72,F,VS1,62.4,58,2802,5.83,5.7,3.6
0.71,F,VS2,62.6,58,2803,5.7,5.67,3.56
0.71,F,VS2,58,62,2803,5.85,5.81,3.38
0.71,G,VS1,62.4,61,2803,5.7,5.65,3.54
0.77,G,VS2,61.3,57,2803,5.93,5.88,3.62
0.71,G,VS2,59.9,60,2803,5.81,5.77,3.47
0.78,G,VS2,60.8,58,2803,6.03,5.95,3.64
0.74,F,VS2,61.7,58,2805,5.85,5.78,3.59
0.74,F,VS2,61.9,56,2805,5.8,5.77,3.58
0.73,F,VS2,62.5,57,2805,5.75,5.7,3.58
0.93,J,SI2,61.9,57,2807,6.21,6.19,3.84
0.81,D,SI2,59.2,57,2809,6.15,6.05,3.61
0.71,F,SI1,60.7,54,2809,5.84,5.8,3.53
0.32,I,SI1,62.7,58,554,4.37,4.34,2.73
0.32,I,SI1,62.8,58,554,4.39,4.34,2.74
0.32,I,SI1,61,59,554,4.39,4.36,2.67
0.3,H,SI1,60.9,59,554,4.31,4.29,2.62
0.3,H,SI1,60.1,55,554,4.41,4.38,2.64
0.3,H,SI1,62.9,58,554,4.28,4.24,2.68
0.73,E,VS2,58.6,60,2812,5.92,5.89,3.46
0.91,G,SI2,59.8,58,2813,6.3,6.29,3.77
0.76,E,SI1,62.2,59,2814,5.86,5.81,3.63
0.75,E,SI1,61.1,59,2814,5.86,5.83,3.57
0.74,G,VS1,61.7,58,2815,5.79,5.81,3.58
0.89,H,SI2,60.2,59,2815,6.26,6.23,3.76
0.72,E,VS2,58.3,58,2815,5.99,5.92,3.47
1.02,G,I1,60.3,58,2815,6.55,6.5,3.94
0.78,F,SI1,61.5,59,2816,5.96,5.88,3.64
0.71,E,SI1,61.3,56,2817,5.78,5.73,3.53
0.71,E,VS2,62.3,58,2817,5.69,5.65,3.53
0.71,E,SI1,59.2,59,2817,5.86,5.83,3.46
0.71,E,SI1,61.8,59,2817,5.75,5.7,3.54
0.71,E,SI1,61.4,58,2817,5.77,5.73,3.53
0.7,E,VS2,62.4,61,2818,5.66,5.63,3.52
0.7,E,VS2,59.3,60,2818,5.78,5.73,3.41
0.7,E,VS2,63,60,2818,5.64,5.6,3.54
1,H,I1,61.3,60,2818,6.43,6.39,3.93
0.86,F,SI2,59.3,62,2818,6.36,6.22,3.73
0.7,E,VS1,59.6,57,2818,5.91,5.83,3.5
0.7,F,VS2,61.8,60,2818,5.69,5.64,3.5
0.7,E,VS1,62.7,57,2818,5.68,5.64,3.55
0.73,E,VS2,61.6,59,2821,5.77,5.73,3.54
0.73,E,SI1,61.3,58,2821,5.83,5.76,3.55
0.73,E,SI1,59.6,61,2821,5.92,5.85,3.51
0.73,E,SI1,62.2,59,2821,5.77,5.68,3.56
0.73,D,SI1,61.7,55,2821,5.84,5.82,3.6
0.7,E,VS1,60.8,60,2822,5.74,5.71,3.48
0.72,E,VS2,60.3,59,2822,5.84,5.8,3.51
0.72,E,VS2,60.9,60,2822,5.8,5.76,3.52
0.72,E,VS2,62.4,59,2822,5.77,5.7,3.58
0.7,E,VS2,60.2,60,2822,5.73,5.7,3.44
0.71,D,SI1,62.7,60,2822,5.71,5.67,3.57
0.71,D,SI1,61.3,58,2822,5.75,5.73,3.52
0.7,D,SI1,60.2,60,2822,5.82,5.75,3.48
0.7,E,VS2,61.5,59,2822,5.73,5.68,3.51
0.7,E,VS2,62.6,56,2822,5.71,5.66,3.56
0.7,E,VS2,60.7,62,2822,5.72,5.68,3.46
0.7,F,VS2,60.6,58,2822,5.8,5.72,3.49
0.71,E,VS2,62.3,58,2823,5.71,5.66,3.54
0.71,D,VS2,61.2,59,2824,5.74,5.69,3.5
0.82,E,SI2,60.8,60,2824,6.05,6.03,3.67
0.71,G,VS1,62.2,59,2825,5.73,5.66,3.54
0.83,H,SI1,60,59,2825,6.08,6.05,3.64
0.83,H,SI1,62.5,59,2825,6.02,5.95,3.74
1.17,J,I1,60.2,61,2825,6.9,6.83,4.13
0.73,E,VS1,62.6,60,2826,5.75,5.68,3.58
0.9,I,SI2,62.2,59,2826,6.11,6.07,3.79
0.7,E,VS1,62.2,58,2826,5.66,5.6,3.5
0.7,E,VS1,59.4,61,2826,5.78,5.74,3.42
0.78,F,SI1,60.8,60,2826,5.97,5.94,3.62
0.79,H,VVS2,62.6,58,2827,5.96,5.9,3.71
1.01,H,SI2,61.6,61,2828,6.39,6.31,3.91
0.72,F,VS1,62.2,58,2829,5.75,5.7,3.56
0.75,E,SI2,61.9,57,2829,5.88,5.82,3.62
0.8,E,SI2,60.2,57,2829,6.05,6.01,3.63
0.9,G,SI1,60.6,62,2830,6.21,6.13,3.74
0.72,E,SI1,62.1,58,2831,5.73,5.76,3.57
0.71,G,VVS2,62.1,57,2832,5.75,5.65,3.54
0.81,G,SI1,63,60,2832,5.87,5.81,3.68
0.71,F,VS1,62.2,58,2832,5.72,5.66,3.54
0.75,F,VS2,59.6,59,2835,6.04,5.94,3.57
0.7,E,VS1,62.6,59,2837,5.69,5.66,3.55
0.72,F,VS1,58.8,60,2838,5.91,5.89,3.47
0.7,F,VS2,62.3,58,2838,5.72,5.64,3.54
0.7,F,VS2,61.7,58,2838,5.69,5.63,3.49
0.7,G,VS1,62.6,55,2838,5.73,5.64,3.56
0.7,F,VS2,59.4,61,2838,5.83,5.79,3.45
0.7,F,VS2,60.9,61,2838,5.71,5.66,3.46
0.7,F,VS2,59.5,58,2838,5.85,5.75,3.45
0.7,G,VS1,63,60,2838,5.64,5.57,3.53
0.71,F,VS1,59.1,61,2839,5.84,5.81,3.44
0.71,F,VS1,59,60,2839,5.82,5.8,3.43
0.71,F,VS1,60.5,58,2839,5.75,5.72,3.47
0.71,G,VVS2,60.3,58,2839,5.82,5.78,3.5
0.71,F,VS1,59.2,58,2839,5.87,5.82,3.46
0.79,G,VS2,59.3,62,2839,6.09,6.01,3.59
0.71,F,VS1,62.7,59,2839,5.7,5.62,3.55
0.71,F,VS2,59.3,56,2840,5.88,5.82,3.47
0.83,F,SI2,61.4,59,2840,6.08,6.04,3.72
0.7,H,VVS1,59.2,60,2840,5.87,5.78,3.45
0.73,F,VS2,60.3,59,2841,5.9,5.87,3.55
1,F,I1,58.9,60,2841,6.6,6.55,3.87
0.73,F,VS2,59.9,59,2841,5.87,5.77,3.5
0.73,G,VS1,61.4,58,2841,5.82,5.77,3.56
0.7,F,VS2,58.7,61,2842,5.8,5.72,3.38
1.27,H,SI2,59.3,61,2845,7.12,7.05,4.2
0.77,E,SI1,62.9,59,2846,5.84,5.79,3.66
0.77,G,VS2,61.3,60,2846,5.91,5.81,3.59
0.77,G,VS1,61.4,58,2846,5.94,5.89,3.63
0.76,D,SI1,61.1,59,2847,5.93,5.88,3.61
0.86,H,SI1,62.7,59,2851,6.04,5.98,3.77
0.71,F,VS2,62.6,58,2853,5.67,5.7,3.56
0.79,D,SI2,60,60,2853,6.07,6.03,3.63
0.71,E,SI1,62.7,58,2853,5.73,5.66,3.57
0.82,I,VS1,61.9,58,2853,5.99,5.97,3.7
1.12,H,I1,59.1,61,2854,6.78,6.75,4
0.73,E,VS2,62,57,2854,5.86,5.76,3.6
0.7,E,VS1,58.4,59,2854,5.91,5.83,3.43
0.68,F,VVS2,61.7,57,2854,5.67,5.64,3.49
0.74,D,VS2,62.4,57,2855,5.8,5.74,3.6
0.33,G,SI2,59.4,59,557,4.52,4.5,2.68
0.33,F,SI2,62.3,58,557,4.43,4.4,2.75
0.33,G,SI2,62.6,58,557,4.42,4.4,2.76
0.33,F,SI2,63,58,557,4.42,4.4,2.78
0.33,J,VS1,62.8,58,557,4.41,4.38,2.76
0.33,J,VS1,61.5,61,557,4.46,4.39,2.72
0.33,I,SI1,60.4,59,557,4.54,4.5,2.73
0.77,F,SI1,60.8,59,2856,5.92,5.86,3.58
0.77,F,SI1,61,58,2856,5.94,5.9,3.61
0.9,I,VS2,61.9,59,2857,6.2,6.14,3.82
0.72,E,SI1,62.1,58,2857,5.76,5.73,3.57
0.71,E,VS2,61,60,2858,5.76,5.69,3.49
0.7,E,VS2,61.4,59,2858,5.73,5.7,3.51
0.71,E,VS2,61.5,60,2858,5.76,5.68,3.52
0.92,J,SI1,62.9,58,2858,6.22,6.18,3.9
0.71,D,VS2,60.4,62,2858,5.74,5.72,3.46
0.7,D,VS2,62.4,56,2859,5.72,5.66,3.55
0.77,F,VS1,60.9,60,2859,5.91,5.88,3.59
0.7,D,VS2,59.6,61,2859,5.8,5.77,3.45
0.83,E,SI2,59.2,60,2859,6.17,6.12,3.64
0.71,D,VS1,62.9,57,2860,5.66,5.6,3.54
0.71,D,SI1,60.7,58,2861,5.95,5.78,3.56
0.9,I,SI1,63,58,2861,6.09,6.01,3.81
0.82,E,SI2,61.7,59,2861,6.01,5.98,3.7
0.66,D,VS1,61,58,2861,5.67,5.57,3.43
0.79,F,SI1,62.3,54,2862,5.97,5.91,3.7
0.79,H,VS1,60,60,2862,6.07,5.99,3.64
0.7,E,VS2,59.5,59,2862,5.82,5.77,3.45
1.22,E,I1,60.9,57,2862,6.93,6.88,4.21
0.73,E,VS2,62.5,61,2862,5.78,5.64,3.59
0.83,G,SI1,62.3,58,2863,6.01,5.97,3.73
0.84,F,SI2,62.3,59,2863,6.06,6.01,3.76
0.71,D,SI1,61,61,2863,5.82,5.75,3.53
0.71,D,SI1,59.7,59,2863,5.82,5.8,3.47
0.71,D,SI1,61.7,56,2863,5.8,5.68,3.54
0.71,D,SI1,61.4,58,2863,5.79,5.75,3.54
0.71,D,SI1,60.6,58,2863,5.79,5.77,3.5
0.91,J,SI1,59.5,62,2863,6.4,6.18,3.74
0.9,J,VS2,59.8,62,2863,6.24,6.21,3.72
0.71,H,VVS2,61.5,62,2863,5.74,5.68,3.51
0.71,E,SI1,59.1,61,2863,5.84,5.8,3.44
0.72,E,SI1,60.9,60,2863,5.78,5.74,3.51
0.73,D,SI1,60.8,55,2865,5.87,5.81,3.55
0.96,I,SI1,61.3,58,2866,6.39,6.3,3.89
0.8,H,VS2,61.2,53,2867,6.05,5.98,3.68
0.95,F,SI2,58.4,57,2867,6.49,6.41,3.77
0.82,F,SI2,59.7,57,2867,6.14,6.12,3.66
0.79,E,SI2,61,58,2868,5.96,5.9,3.62
1.08,D,I1,61.9,60,2869,6.55,6.48,4.03
0.52,F,VVS2,61.8,60,2870,5.16,5.13,3.18
0.64,E,VVS2,62.1,58,2870,5.56,5.51,3.44
0.73,E,VS1,61.3,59,2870,5.81,5.78,3.55
1.04,I,I1,61.6,61,2870,6.47,6.45,3.98
0.9,J,SI1,62.8,59,2871,6.13,6.03,3.82
0.9,J,SI1,61.8,58,2873,6.16,6.13,3.8
0.9,J,SI1,60.9,61,2873,6.26,6.22,3.8
0.78,F,VS2,62.6,58,2874,5.91,5.82,3.67
0.71,D,VS2,61.2,59,2874,5.69,5.74,3.5
0.7,F,VS1,59,59,2874,5.79,5.77,3.41
0.7,F,VS1,60.8,62,2874,5.71,5.67,3.46
0.7,G,VVS2,61.8,58,2874,5.67,5.63,3.49
0.7,G,VVS2,62.9,59,2874,5.68,5.61,3.55
0.73,E,VS1,62.6,60,2876,5.68,5.75,3.58
0.79,E,VS2,60.6,53,2876,6.04,5.98,3.64
0.63,E,IF,60.3,62,2879,5.55,5.53,3.34
0.7,F,VS1,60.4,60,2879,5.73,5.7,3.45
0.71,F,VS1,62.7,58,2879,5.71,5.67,3.57
1.05,H,I1,62,59,2881,6.5,6.47,4.02
0.73,F,VS2,59.9,58,2882,5.87,5.84,3.51
0.73,F,VS2,58.7,57,2882,5.97,5.92,3.49
1.01,I,SI1,62.7,60,2885,6.36,6.27,3.96
0.7,E,VS1,62.6,59,2887,5.66,5.69,3.55
0.77,F,VS2,61.8,56,2889,5.94,5.9,3.66
0.77,E,SI1,59.8,61,2889,5.99,5.95,3.57
0.8,F,SI1,61.5,60,2890,5.97,5.94,3.66
0.82,G,SI1,59.9,59,2893,6.09,6.06,3.64
0.77,E,SI1,60.9,58,2896,5.94,5.88,3.6
0.76,E,SI1,61.1,58,2897,5.91,5.85,3.59
0.74,D,VS2,61.8,58,2897,5.81,5.77,3.58
1.12,J,SI2,60.6,59,2898,6.68,6.61,4.03
0.72,D,VS1,62.7,58,2900,5.68,5.65,3.55
0.8,F,SI1,62.7,58,2901,5.91,5.93,3.71
0.81,E,SI2,62.5,59,2901,5.97,5.9,3.71
0.73,E,VS2,62,60,2902,5.76,5.73,3.56
0.71,E,VS2,59.6,60,2902,5.85,5.8,3.47
0.75,D,SI1,62.8,60,2903,5.78,5.74,3.62
0.72,D,SI1,61.4,59,2903,5.79,5.71,3.53
0.72,E,VS2,61.1,59,2903,5.8,5.75,3.53
0.91,J,SI1,62.8,59,2905,6.19,6.14,3.87
0.25,F,VS1,61.2,59,558,4.05,4.02,2.47
0.25,E,VS1,60.7,59,558,4.13,4.11,2.5
0.25,E,VS1,61.5,60,558,4.04,4.02,2.48
0.31,I,VS2,60.8,58,558,4.37,4.34,2.65
0.31,I,VS2,59.8,60,558,4.42,4.38,2.63
0.31,I,VS2,62.3,57,558,4.35,4.32,2.7
0.31,H,SI1,58.7,60,558,4.47,4.43,2.61
0.31,H,SI1,62.7,58,558,4.34,4.31,2.71
0.31,I,VS2,60.8,60,558,4.42,4.37,2.67
0.31,I,VS2,59.9,60,558,4.44,4.41,2.65
0.31,I,VS2,61.1,58,558,4.38,4.36,2.67
0.31,I,VS2,60.7,61,558,4.34,4.32,2.63
0.31,I,VS2,62.3,60,558,4.32,4.31,2.69
0.31,H,SI1,61.7,59,558,4.39,4.36,2.7
0.31,H,SI1,61,61,558,4.39,4.33,2.66
0.31,H,SI1,62.4,57,558,4.35,4.31,2.7
0.31,H,SI1,62.8,58,558,4.32,4.28,2.7
0.31,E,SI2,60.9,60,558,4.38,4.35,2.66
0.7,D,VS2,61,60,2909,5.75,5.7,3.49
0.7,D,VS2,60.9,57,2909,5.71,5.69,3.47
1.05,I,SI2,58.3,57,2911,6.72,6.67,3.9
0.8,E,SI1,61.2,60,2912,5.97,5.95,3.65
0.71,D,SI1,61.4,58,2913,5.75,5.79,3.54
0.71,G,SI2,60.8,59,2913,5.7,5.74,3.48
0.71,D,SI1,60.6,58,2913,5.77,5.79,3.5
0.71,D,SI1,59.7,59,2913,5.8,5.82,3.47
0.91,I,SI2,62,59,2913,6.18,6.23,3.85
0.83,E,SI1,62.2,59,2913,6.05,5.97,3.74
0.74,F,VS1,62.5,60,2917,5.78,5.74,3.6
0.73,G,VVS2,62.2,56,2919,5.79,5.75,3.59
0.71,E,VS1,59.7,57,2920,5.87,5.78,3.48
0.71,F,VS1,59.1,59,2920,5.88,5.83,3.46
0.9,I,VS2,58.7,60,2923,6.35,6.28,3.7
1.2,I,I1,60.5,58,2925,6.9,6.79,4.14
0.81,F,SI1,61.2,56,2926,6.03,6,3.68
0.81,F,SI1,61.3,60,2926,6,5.94,3.66
0.9,H,SI2,59.5,60,2927,6.32,6.29,3.75
0.7,E,VS1,60.3,58,2930,5.7,5.74,3.45
0.7,G,VVS1,62,61,2932,5.71,5.62,3.51
0.7,F,VVS2,61,57,2932,5.8,5.71,3.51
0.73,F,VS2,59.9,58,2933,5.84,5.87,3.51
0.91,H,SI1,60.2,52,2935,6.27,6.15,3.74
0.8,H,VS1,62,60,2935,5.92,5.86,3.65
0.76,E,SI1,58.3,62,2937,6.12,5.95,3.52
0.76,G,VS1,59.6,57,2937,6.01,5.91,3.55
0.95,G,SI2,58.8,60,2937,6.35,6.31,3.72
0.77,D,SI1,59.5,60,2939,6.01,5.95,3.56
0.8,E,SI2,59.9,58,2939,6.03,5.96,3.59
0.82,H,VS2,62.6,59,2939,5.99,5.93,3.73
0.71,F,VS1,61.1,58,2942,5.76,5.72,3.51
0.76,D,SI1,61.6,59,2942,5.84,5.82,3.59
0.73,D,VS2,60.9,59,2947,5.82,5.77,3.53
0.9,I,SI1,60.9,56,2947,6.26,6.21,3.8
0.9,I,SI2,62.5,58,2948,6.15,6.1,3.83
0.9,I,SI2,60.6,60,2948,6.28,6.23,3.79
0.71,D,VS2,62.1,60,2950,5.72,5.68,3.54
0.79,F,VS2,63,59,2953,5.84,5.8,3.66
0.72,E,VS2,61.1,59,2954,5.75,5.8,3.53
0.72,D,SI1,61.4,59,2954,5.71,5.79,3.53
0.89,I,VS1,62.2,62,2955,6.14,6.02,3.78
0.7,D,VS1,60.4,58,2956,5.78,5.71,3.47
0.79,G,VS2,62.3,58,2959,5.92,5.89,3.68
0.72,E,VS1,61.5,60,2961,5.79,5.75,3.55
0.73,F,VS1,61.9,56,2961,5.81,5.76,3.58
0.73,F,VS1,62.7,56,2961,5.75,5.73,3.6
0.71,F,VS1,62.1,53,2961,5.77,5.7,3.56
0.75,H,VS1,61.9,61,2961,5.85,5.82,3.61
0.96,E,SI2,60.4,56,2961,6.32,6.23,3.79
0.82,F,SI1,62.4,56,2962,6.01,5.98,3.74
0.9,J,VS1,62.1,62,2964,6.12,6.05,3.78
1.05,E,I1,61.4,58,2964,6.53,6.46,3.99
0.31,E,SI2,60.8,61,558,4.43,4.39,2.68
0.31,E,SI2,61.2,61,558,4.37,4.36,2.67
0.32,H,VS1,60.2,58,561,4.43,4.47,2.68
0.92,H,SI1,59.2,60,2968,6.4,6.35,3.76
0.71,D,VS2,58.7,61,2968,5.88,5.85,3.44
1.06,I,SI2,61.5,57,2968,6.57,6.49,4.02
0.52,E,VVS2,60.1,58,2970,5.23,5.18,3.13
0.78,E,VS2,62.6,57,2970,5.91,5.85,3.68
0.81,H,VS1,62.6,58,2972,5.96,5.9,3.71
0.7,F,VVS2,62.2,58,2975,5.72,5.66,3.54
0.83,G,SI1,61.6,59,2975,6.02,5.99,3.7
0.77,E,SI1,60.4,58,2975,6,5.88,3.59
0.76,D,VS2,60.9,58,2977,5.9,5.85,3.58
0.86,F,SI2,61.8,58,2980,6.12,6.15,3.79
0.91,I,SI2,60.2,59,2981,6.29,6.24,3.77
0.71,E,VS2,62.6,58,2982,5.72,5.68,3.57
1,G,I1,62.5,62,2984,6.42,6.35,3.99
0.82,H,VS1,62.3,60,2985,5.97,5.94,3.71
0.77,E,SI1,61.7,58,2988,5.86,5.9,3.63
0.83,D,SI1,61.3,58,2990,6.03,6,3.69
1.24,J,I1,61.9,55,2994,6.92,6.85,4.26
0.81,G,VS2,62,58,2994,5.95,5.92,3.68
0.81,D,SI2,61.7,58,2994,5.97,5.93,3.67
0.87,F,SI2,61.6,58,2999,6.14,6.1,3.77
0.7,G,VVS2,60.6,60,2999,5.77,5.69,3.47
0.74,E,VS1,62.7,58,2999,5.83,5.74,3.63
0.74,E,VS1,60.9,62,2999,5.83,5.8,3.54
0.7,G,VVS2,60.2,61,2999,5.74,5.66,3.43
0.9,I,SI2,60.6,60,3001,6.23,6.28,3.79
0.7,D,VS1,61.6,61,3001,5.66,5.61,3.47
0.71,D,VS2,62.1,60,3002,5.68,5.72,3.54
0.8,G,VS2,60.6,59,3002,6.02,5.97,3.63
0.65,D,VVS2,59.9,58,3003,5.69,5.63,3.39
0.81,F,SI1,61.9,58,3004,5.99,5.96,3.7
0.92,D,SI2,60.2,61,3004,6.32,6.27,3.79
0.71,E,VS1,61.1,58,3006,5.8,5.76,3.53
0.55,D,VVS1,60.3,59,3006,5.34,5.3,3.21
0.7,E,VVS2,62.7,53,3007,5.65,5.61,3.53
0.82,H,VS1,62.5,59,3008,5.96,5.94,3.72
0.75,F,VS2,61.6,58,3013,5.84,5.89,3.61
0.9,D,SI1,62.2,60,3013,6.08,6.05,3.77
1.01,G,I1,61.1,61,3014,6.49,6.35,3.92
0.7,E,VS1,61.8,58,3016,5.71,5.75,3.54
0.96,E,SI2,62.8,60,3016,6.3,6.24,3.94
1.12,G,I1,60.3,60,3017,6.75,6.69,4.05
0.7,F,VVS2,62.5,59,3018,5.68,5.61,3.53
0.77,F,VS2,62.4,59,3018,5.85,5.81,3.64
0.7,F,VVS2,62.2,56,3018,5.72,5.63,3.53
0.93,G,SI2,61.4,56,3019,6.27,6.23,3.84
0.78,D,SI1,60.4,57,3019,6.02,5.97,3.62
0.75,E,VS2,62.1,57,3024,5.9,5.79,3.63
0.72,E,VS2,60.4,61,3024,5.79,5.76,3.49
0.72,E,VS2,62.5,59,3024,5.73,5.7,3.57
0.75,E,SI1,61.7,60,3024,5.84,5.8,3.59
0.75,D,SI1,59.2,58,3024,5.96,5.93,3.52
1.02,G,SI2,61.7,58,3027,6.46,6.41,3.97
0.72,G,VS1,58.9,58,3032,5.93,5.85,3.47
0.91,H,SI1,63,57,3033,6.19,6.1,3.87
0.74,D,SI1,62.4,59,3036,5.73,5.8,3.6
0.32,G,VS2,60.5,58,561,4.41,4.42,2.67
0.32,G,VS2,62.5,60,561,4.32,4.38,2.72
0.32,G,VS2,59.8,59,561,4.48,4.52,2.69
0.32,I,VVS2,60.7,59,561,4.4,4.43,2.68
0.32,H,VS1,62.3,58,561,4.34,4.39,2.72
0.32,G,VS2,61.9,58,561,4.36,4.43,2.72
0.32,H,VS1,61.7,58,561,4.38,4.44,2.72
0.32,G,VS2,61.7,60,561,4.32,4.4,2.69
0.32,G,VS2,62.3,58,561,4.36,4.41,2.73
0.92,I,SI2,61.5,59,3040,6.27,6.21,3.84
0.81,F,SI1,61.9,59,3043,5.97,5.95,3.69
0.72,D,VS2,60.2,60,3045,5.76,5.81,3.48
0.91,G,SI2,60.1,62,3047,6.24,6.2,3.73
0.91,G,SI2,62.8,59,3047,6.14,6.12,3.85
0.72,H,IF,58.7,59,3048,5.94,5.88,3.47
0.72,D,SI1,60.5,57,3048,5.89,5.85,3.55
0.72,D,SI1,62.6,54,3048,5.78,5.72,3.6
0.79,G,VS1,62.3,56,3053,5.94,5.87,3.68
0.79,G,VS1,61.3,59,3053,5.97,5.91,3.64
1.01,H,SI2,61.1,60,3054,6.46,6.41,3.93
1.01,I,SI2,61.9,58,3054,6.45,6.41,3.98
0.79,D,SI1,61.4,59,3058,5.96,5.89,3.64
0.91,J,VS2,61.6,58,3058,6.28,6.23,3.85
0.7,F,VVS2,58.7,60,3062,5.8,5.75,3.39
0.71,E,VS2,62.2,59,3062,5.71,5.61,3.52
0.71,E,VS2,62,61,3062,5.71,5.65,3.52
